Player ID,Player Name,Player Team,Player Age,Player Height,Mins Played,tacklePerGame,interceptionPerGame,foulsPerGame,clearancePerGame,wasDribbledPerGame,goal,assistTotal,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnoverPerGame,totalPassesPerGame,passSuccess,accurateCrossesPerGame,accurateLongPassPerGame,accurateThroughBallPerGame,xG,xGPerNinety,totalShots,xGPerShot,rating
1386,Pablo Mari,Monza,31,193,1630,1.4,1.9,1.4,4.4,0.5,0,0,0.1,0.2,0.3,0.3,0,0.3,0.2,58.2,90,0,3.5,0,0,0,0,0,6.75
1387,Mehdi Taremi,Inter,32,185,554,0.2,0,0.4,0.5,0.1,1,1,0.6,0.6,0.3,0.4,0.2,0.2,0.6,8.4,82.6,0,0,0.1,2.87,0.47,12,0.24,6.28
1388,Jens Cajuste,Ipswich,25,188,1276,1.5,0.9,1,1,1.1,0,0,0.3,0.4,0.8,0.8,0,0.5,0.7,23.9,87.6,0,0.7,0.1,0.26,0.02,6,0.04,6.28
1389,Herba Guirassy,Nantes,18,186,301,0.6,0.1,0.2,0.3,0.4,2,0,0.4,0.1,0.6,0.1,0,0.9,0.6,6.9,75.3,0,0.1,0,0.65,0.19,5,0.13,6.28
1390,Alvaro Garcia,Rayo Vallecano,32,167,1589,1.2,1,0.5,1,0.5,3,3,1.5,1.4,0.2,0.5,0.4,0.4,1.6,19.6,68.6,0.7,0.7,0,4.68,0.26,36,0.13,6.6
1391,Antoine Makoumbou,Cagliari,26,187,1610,1.5,0.5,0.9,0.7,0.2,0,1,0.3,0.1,0.4,0.6,0,0.8,0.5,38,89.5,0.1,1.1,0,0.22,0.01,7,0.03,6.28
1392,Dani Rodriguez,Mallorca,36,178,1588,1.3,0.3,1.5,0.6,0.4,4,6,1,0.9,0.6,1.1,0.2,1.2,1.3,17.3,76.7,1,0.7,0.1,3.03,0.17,25,0.12,6.74
1393,Mandela Keita,Parma Calcio 1913,22,180,925,1.5,0.4,0.9,0.7,0.4,0,1,0.1,0.6,0.4,1.2,0.1,0.6,0.8,20.1,90.6,0,0.7,0.1,0.02,0.005079549,1,0.02,6.28
1394,Lewis Holtby,Holstein Kiel,34,176,1025,1.5,1,0.5,0.8,0.7,0,1,0.3,1,0.3,0.9,0,0.3,0.4,25.9,81.7,0.5,1.1,0,0.54,0.05,5,0.11,6.28
1395,Leny Yoro,Man Utd,19,190,652,1.1,1,0.5,1.9,0.5,0,0,0.4,0,0.1,0.1,0.1,0,0.1,32.1,93,0.1,1.1,0,1.1,0.15,5,0.22,6.28
1396,Iker Bravo,Udinese,20,182,369,0.4,0,0.3,0.2,0.2,2,1,0.4,0.3,0.5,0.4,0.1,0.5,0.9,5.5,82.6,0.1,0.2,0.1,0.84,0.2,7,0.12,6.28
1397,Florian Tardieu,Saint-Etienne,32,181,536,0.8,0.5,0.4,0.4,0.3,0,2,0.1,0.7,0.1,0.1,0,0.2,0.7,35.2,87.6,0.1,1.8,0,0.05,0.01,2,0.02,6.28
1398,Teddy Teuma,Reims,31,176,703,1,0.8,0.7,0.4,1.1,1,0,0.9,0.8,0.2,0.4,0.1,0.7,0.7,32.9,84.2,0.4,1.8,0.1,1.59,0.2,14,0.11,6.27
1399,Edoardo Goldaniga,Como,31,193,1631,1.1,1,1.4,2.9,0.1,0,0,0.2,0.1,0.1,0.7,0,0.3,0.3,41.1,85.7,0,1.8,0,0.68,0.04,5,0.14,6.27
1400,Anthony Losilla,Bochum,38,185,1076,1.6,0.9,1.1,1.4,0.9,0,0,0.2,0.4,0.1,0.5,0.1,0.4,0.6,22.1,76.1,0.2,0.7,0,0.08,0.01,3,0.03,6.27
1401,Jakov Medic,Bochum,26,193,1159,0.5,0.8,0.4,4.5,0.4,0,0,0.5,0.1,0,0.4,0.1,0.1,0.3,29.8,86.2,0,1.6,0.1,0.87,0.07,9,0.1,6.27
1402,Rodrigo Gomes,Wolves,21,175,564,1.1,0.2,0.1,0.8,0.5,1,0,0.2,0.6,0.2,0.2,0,0.4,0.8,10.6,68.3,0.2,0.2,0,0.48,0.08,4,0.12,6.27
1403,Moussa Diarra,Deportivo Alaves,24,185,1577,1.3,1,1,1.4,0.4,0,0,0,0.1,0.3,1,0,0.4,0.8,29.4,84.3,0.2,1.5,0,0.03,0.002006637,1,0.03,6.27
1404,Conor Chaplin,Ipswich,28,168,611,0.7,0.2,0.7,0.1,0.5,1,1,0.8,0.4,0.2,0.3,0,0.2,0.6,14.6,76.3,0.1,0.3,0.1,1.11,0.16,12,0.09,6.27
1405,Cristhian Stuani,Girona,38,184,495,0.2,0.2,0.8,0.3,0.1,4,2,1,0.2,0.1,0.1,0.2,0.2,0.6,3.6,70.8,0,0,0,5.16,0.94,19,0.27,6.27
1406,Kyle Walker,Man City,34,183,967,1.1,0.2,0.4,0.7,0.8,0,0,0.3,0.5,0.2,0.3,0.1,0.1,0.6,48.7,88.6,0.3,1.5,0.1,0,0,0,0,6.27
1407,Isi Palazon,Rayo Vallecano,30,169,1568,0.8,0.3,1.4,0.4,0.7,3,3,1.6,1.1,0.8,1.4,0.1,1.2,1.2,23.9,82.6,0.9,0.9,0.2,3.52,0.2,40,0.09,6.67
1408,Thijs Dallinga,Bologna,24,190,523,0.4,0,0.9,0.2,0,2,0,1,0.3,0.1,0.5,0.2,0.7,1.2,6.9,72.4,0,0.1,0,3.64,0.63,20,0.18,6.27
1409,Loic Nego,Le Havre,34,181,1563,1.6,0.9,0.8,2.1,0.6,0,0,0.4,0.5,0.6,1,0.2,0.3,0.7,28,78.3,0.6,1.3,0,0.43,0.02,8,0.05,6.42
1410,Lukas Kubler,Freiburg,32,182,1502,1.8,2.4,1,1.9,1,4,0,0.7,0.4,0,0.8,0.1,0.3,0.5,34.1,78.5,0.3,1.5,0,2.21,0.13,13,0.17,6.82
1411,Drissa Camara,Parma Calcio 1913,23,179,370,0.5,0.1,0.9,0.1,0.5,0,0,0.9,0.1,0.9,0.8,0.1,0.1,0.6,8.9,77.6,0.1,0.2,0,1.24,0.3,15,0.08,6.26
1412,Wahbi Khazri,Montpellier,34,176,968,1,0.2,0.8,0.3,0.5,1,1,1.3,0.7,0.2,1.1,0.3,1,0.8,11.3,73.9,0.4,0.7,0,1.83,0.17,31,0.06,6.26
1413,James Bree,Southampton,27,178,892,1.1,0.6,0.1,1.6,0.7,0,1,0.3,0.7,0.3,0.3,0,0.3,0.4,33.6,87,0.4,0.7,0,0.16,0.02,4,0.04,6.26
1414,Flavius Daniliuc,Verona,23,188,906,1.4,0.4,0.7,1.5,0.6,0,0,0.3,0.1,0.3,0.1,0,0.3,0.4,21.7,85.3,0.1,0.7,0,0.15,0.01,4,0.04,6.26
1415,Joe Willock,Newcastle,25,186,800,0.8,0.2,0.7,0.2,0.3,0,2,0.5,0.8,0.5,0.5,0.1,0.9,1.3,10.4,86.4,0,0.2,0,1.28,0.14,12,0.11,6.26
1416,Luca Kerber,FC Heidenheim,22,184,658,1.6,0.2,1.1,1.3,0.8,1,0,0.3,0.2,0,0.4,0,0.2,0.7,12.4,74.4,0,0.6,0,0.7,0.1,5,0.14,6.26
1417,Emmanuel Sabbi,Le Havre,27,178,651,0.9,0.2,0.7,0.3,0.2,0,0,1,0.3,0.7,1.1,0.1,0.7,1.3,7.5,78.6,0.1,0.3,0.1,1.66,0.23,15,0.11,6.26
1418,Andrea Belotti,Como,31,181,589,0.4,0.1,0.5,0.4,0.2,2,0,1.1,0.4,0.1,1.1,0.3,0.6,0.6,6.4,78.3,0,0.1,0,0,0,0,0,6.26
1419,Sandro Ramirez,Las Palmas,29,174,1490,1,0.6,1,0.8,0.7,8,3,1.9,0.8,0.6,1.3,0.2,1,1.6,18,73.5,0.8,0.6,0,3.16,0.19,39,0.08,6.82
1420,Jose Maria Gimenez,Atletico,30,185,1474,0.9,1,0.4,3.9,0.5,0,1,0.2,0.1,0.1,0.4,0,0.1,0.1,43.7,91.2,0,3.6,0,0.26,0.02,4,0.06,6.74
